Codigo Postal,Colonia,_Municipio,cve_mun,Seccion
78450,LOMAS DE LA SOLEDAD,AHUALULCO,1,1
78450,LOS MAGUEYES,AHUALULCO,1,1
78450,RINCONADA LOS ARCOS,AHUALULCO,1,1
78450,ZONA CENTRO,AHUALULCO,1,1
78450,JULIAN CARRILLO,AHUALULCO,1,2
78450,LA CRUZ,AHUALULCO,1,2
78450,MANUEL ASCENCIO,AHUALULCO,1,2
78450,PRIVADA DE LA JUVENTUD,AHUALULCO,1,2
78456,SAN JUAN DE COYOTILLOS,AHUALULCO,1,2
78450,ZONA CENTRO,AHUALULCO,1,2
78459,COLONIA DE LA CRUZ,AHUALULCO,1,6
78459,LOS ARBOLES,AHUALULCO,1,6
78455,SAN ANTONIO OJO DE AGUA,AHUALULCO,1,6
78450,CERRITO DE ROJAS,AHUALULCO,1,7
78455,SAN SALVADOR,AHUALULCO,1,8
78455,YERBABUENA,AHUALULCO,1,8
78456,SAN JUAN DE COYOTILLOS,AHUALULCO,1,13
78450,CLAVELLINAS,AHUALULCO,1,14
78450,ESTANCIA DEL ARENAL,AHUALULCO,1,14
78458,LA PARADA,AHUALULCO,1,14
78550,CAMPOSANTO,CATORCE,6,98
78550,GUADALUPE,CATORCE,6,98
78550,PURISIMA (COYOTERA),CATORCE,6,98
78550,REAL DE CATORCE,CATORCE,6,98
78546,SAN CRISTOBAL,CATORCE,6,102
78564,TANQUE DE DOLORES,CATORCE,6,105
78540,ESTACION CATORCE,CATORCE,6,106
78552,SANTA CRUZ DE CARRETAS,CATORCE,6,107
78551,EL POTRERO,CATORCE,6,108
78564,LA CARDONCITA,CATORCE,6,111
78562,SAN ANTONIO DE CORONADOS,CATORCE,6,116
78565,RANCHITO DE CORONADOS,CATORCE,6,117
78563,GUADALUPE DEL CARNICERO,CATORCE,6,118
78527,ANTIGUA GUAYULERA,CEDRAL,7,119
78520,ARBOLEDAS,CEDRAL,7,119
78520,BENITO JUAREZ,CEDRAL,7,119
78520,CEDRAL,CEDRAL,7,119
78520,CENTRO,CEDRAL,7,119
78520,JESUS MARIA Y JOSE,CEDRAL,7,119
78520,LA ESTACION,CEDRAL,7,119
78520,LA LUZ,CEDRAL,7,119
78527,LA VICTORIA,CEDRAL,7,119
78520,LAREDITO,CEDRAL,7,119
78520,PROGRESISTA,CEDRAL,7,119
78527,PROGRESO,CEDRAL,7,119
78520,SAN PEDRO,CEDRAL,7,119
78523,SANTA FE,CEDRAL,7,119
78520,CEDRAL,CEDRAL,7,120
78520,CENTRO,CEDRAL,7,120
78520,DEL VALLE,CEDRAL,7,120
78524,EL DOLLAR,CEDRAL,7,120
0,PEÑA,CEDRAL,7,120
78520,PROGRESISTA,CEDRAL,7,120
78520,REAL,CEDRAL,7,120
78520,VALLE DE LOS SILLARES,CEDRAL,7,120
78524,CARABANCHEL,CEDRAL,7,121
78520,CENTRO,CEDRAL,7,121
78520,CONTRY,CEDRAL,7,121
78524,EL DOLLAR,CEDRAL,7,121
78524,ESCRITORES,CEDRAL,7,121
78524,JUAN ROJAS,CEDRAL,7,121
78536,LA ESPERANZA,CEDRAL,7,121
78527,PROGRESO,CEDRAL,7,121
78524,UNION,CEDRAL,7,121
78525,ANTORCHISTA,CEDRAL,7,122
78525,CANTU,CEDRAL,7,122
78520,CEDRAL,CEDRAL,7,122
78520,CENTENARIO,CEDRAL,7,122
78520,CENTRO,CEDRAL,7,122
78520,DEL BOSQUE,CEDRAL,7,122
78526,DOMINGO SOTO,CEDRAL,7,122
78525,EMILIANO ZAPATA,CEDRAL,7,122
78527,FCO I MADERO,CEDRAL,7,122
78525,JOSEFA O DE DOMINGUEZ,CEDRAL,7,122
78525,LAZARO CARDENAS,CEDRAL,7,122
78520,MOSAI,CEDRAL,7,122
78520,NOGALAR,CEDRAL,7,122
78527,SAN ANTONINO,CEDRAL,7,122
78520,VALLE DE LAS FLORES,CEDRAL,7,122
78525,VALLE DE LOS CEDROS,CEDRAL,7,122
78520,VALLE VERDE,CEDRAL,7,122
78520,VALLE VERDE 3A SECCION,CEDRAL,7,122
78525,VILLA LAS PALMAS,CEDRAL,7,122
78520,SAN ANTONIO DEL SOTOL,CEDRAL,7,123
78531,SAN MATEO,CEDRAL,7,123
78534,SAN LORENZO,CEDRAL,7,124
78520,GALLOS BLANCOS,CEDRAL,7,125
78520,SANTA RITA DEL SOTOL,CEDRAL,7,125
78520,PRESA VERDE,CEDRAL,7,126
78530,TANQUE NUEVO,CEDRAL,7,127
78534,ZAMARRIPA,CEDRAL,7,127
78537,CUAREJO,CEDRAL,7,128
78520,ESPIRITU SANTO,CEDRAL,7,128
78520,LA BOQUILLA,CEDRAL,7,128
78536,JESUS MARIA,CEDRAL,7,129
78522,CERRO DE FLORES,CEDRAL,7,130
78521,SAN ISIDRO,CEDRAL,7,131
78538,SALADITO,CEDRAL,7,132
78522,SAN PABLO,CEDRAL,7,132
78520,LAGUNILLAS,CEDRAL,7,133
78520,RANCHITO DE LAGUNILLAS,CEDRAL,7,133
78520,SAN ANTONIO DE LOS MONTOYA,CEDRAL,7,133
78523,BLANCO DE ARRIBA,CEDRAL,7,135
78597,IMMSA,CHARCAS,15,384
78597,INFONAVIT EL MINERAL,CHARCAS,15,384
78597,LA LUZ,CHARCAS,15,384
78597,EL GRACERO,CHARCAS,15,385
78597,LA CLAVELLINA,CHARCAS,15,385
78593,AVIACION,CHARCAS,15,386
78590,CENTRO,CHARCAS,15,386
78597,EL GRACERO,CHARCAS,15,386
78597,LA CLAVELLINA,CHARCAS,15,386
78590,CENTRO,CHARCAS,15,387
78570,CHARCAS,CHARCAS,15,387
78597,LA CLAVELLINA,CHARCAS,15,387
78590,CENTRO,CHARCAS,15,388
78595,CHEPINQUE,CHARCAS,15,388
78595,EL CAIMAN,CHARCAS,15,388
78597,LA CLAVELLINA,CHARCAS,15,388
78595,CHEPINQUE,CHARCAS,15,389
78594,CRUZ DEL SIGLO,CHARCAS,15,389
78595,EL MEZQUITE,CHARCAS,15,389
78595,LA ESTACION,CHARCAS,15,389
78595,MAGISTERIAL,CHARCAS,15,389
78595,RINCONADA VERACRUZ,CHARCAS,15,389
78594,SIGLO XXI,CHARCAS,15,389
78590,CENTRO,CHARCAS,15,390
78595,LA ESTACION,CHARCAS,15,390
78596,POTRERILLOS,CHARCAS,15,390
78594,SIGLO XXI,CHARCAS,15,390
78590,CENTRO,CHARCAS,15,391
