CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO,AMBITO
24,1,7,Cañada Grande (El Bosque),Rural
24,1,11,Cerrito de Rojas,Rural
24,1,14,Cochinillas,Rural
24,1,35,San Antonio Ojo de Agua,Rural
24,1,43,El Temazcal,Rural
24,1,49,El Zapatero,Rural
24,1,56,Cañón de Yerbabuena,Rural
24,1,70,Tierra Prieta,Rural
24,1,25,La Parada,Rural
24,1,76,Mina Blanca,Rural
24,1,53,La Mezclita,Rural
24,1,54,Clavellinas,Rural
24,1,6,Barrancas,Rural
24,1,1,Ahualulco del Sonido 13,Urbana
24,1,15,Colonia de la Cruz,Rural
24,1,16,Coyotillos,Rural
24,1,20,La Higuera,Rural
24,1,28,Pedregal,Rural
24,1,29,Santa Petronilas,Rural
24,1,18,La Encarnación,Rural
24,1,12,Los Cerritos,Rural
24,1,21,Estación Ipiña,Rural
24,1,39,San Salvador,Rural
24,1,47,El Tulillo,Rural
24,1,19,Estancia del Arenal (Arenal Viejo),Rural
24,1,10,El Zapote (Cerrito Blanco),Rural
24,1,13,Cerro Blanco,Rural
24,1,34,El Salitre,Rural
24,1,8,Cañada Grande,Rural
24,1,32,Rincón de Yerbabuena,Rural
24,1,40,Santa Teresa,Rural
24,1,51,La Candelaria,Rural
24,1,17,Ejido del Centro,Rural
24,1,37,San Juan (San Juan de Coyotillos),Rural
24,1,5,Arenal de Morelos,Rural
24,1,45,Tinaja,Rural
24,1,122,Los Árboles (Colonia de la Cruz),Rural
24,1,46,La Trinidad,Rural
24,1,64,El Tulillo (San Nicolás),Rural
24,1,48,Yerbabuena,Rural
24,1,26,Paso Bonito,Rural
24,2,5,Cañaditas,Rural
24,2,11,Maldonado,Rural
24,2,15,Rancho de Morales,Rural
24,2,17,Ojo de Agua,Rural
24,2,18,Olla del Durazno (Joya del Durazno),Rural
24,2,21,Las Peñitas,Rural
24,2,23,Rancho de Pro,Rural
24,2,25,Rancho Nuevo,Rural
24,2,32,Las Tuzas,Rural
24,2,41,Las Huertas,Rural
24,2,1,Alaquines,Urbana
24,2,3,El Callejón de la Luz,Rural
24,2,10,El Llanito,Rural
24,2,27,El Sabino,Rural
24,2,19,Pasito de San Francisco,Rural
24,2,16,Nueva Reforma,Rural
24,2,12,Martínez,Rural
24,2,29,San José del Corito,Rural
24,2,30,San José de Palmas,Rural
24,2,4,La Cañada,Rural
24,3,2,Agua Amarga,Rural
24,3,5,La Caldera,Rural
24,3,8,La Cuchilla,Rural
24,3,16,La Morena,Rural
24,3,18,El Naranjito,Rural
24,3,24,Puhuitzé,Rural
24,3,32,Santa Anita,Rural
24,3,42,Tamcuem,Rural
24,3,44,Tanchachín,Rural
24,3,52,El Zopope,Rural
24,3,60,Los Remedios,Rural
24,3,87,Los Hornos,Rural
24,3,89,Yerbabuena,Rural
24,3,93,La Cañada (Los Corrales),Rural
24,3,98,San Isidro,Rural
24,3,103,Lanim,Rural
24,3,108,La Brecha (La Brecha de Tantzotzob),Rural
24,3,109,El Volantín,Rural
24,3,129,Puerto de Guaymas,Rural
24,3,248,Barrio San Miguel,Rural
24,3,255,Santa Martha,Rural
24,3,310,Barrio el Progreso,Rural
24,3,3,El Aguacate,Rural
24,3,26,San Francisco de Asís,Rural
24,3,4,Alitzé,Rural
24,3,15,El Mirador,Rural
24,3,49,La Unión de Guadalupe,Rural
24,3,136,San Francisco,Rural
24,3,12,Linjá,Rural
24,3,301,San Martín,Rural
24,3,64,El Rosario,Rural
24,3,36,La Mesa,Rural
24,3,62,Moctezuma,Rural
24,3,50,Jol Mom,Rural
24,3,86,Manja,Rural
24,3,31,San Rafael Tampaxal,Rural
24,3,84,Cuetáb,Rural
24,3,27,San José el Viejo,Rural
24,3,91,Tanchopol,Rural
24,3,133,Tan Tzajib,Rural
24,3,122,La Soledad,Rural
24,3,6,Camarones,Rural
24,3,83,La Laja,Rural
24,3,88,La Reforma,Rural
24,3,11,Joya de las Vacas,Rural
24,3,48,Tanute,Rural
24,3,47,Tantzotzob,Rural
24,3,10,El Jabalí,Rural
24,3,1,Aquismón,Urbana
24,3,314,NCPE Santa Anita,Rural
24,3,29,San Pedro de las Anonas,Rural
24,3,38,Tamápatz,Rural
24,3,20,Los Otates,Rural
24,3,96,El Sauz (El Saucito),Rural
24,3,9,Eureka,Rural
24,3,40,Tampaxal,Rural
24,3,104,Tahuilatzén,Rural
24,3,22,Palo de Arco,Rural
24,3,43,Tamcuime,Rural
24,3,7,Barrio la Cruz,Rural
24,3,14,La Mesa,Rural
24,3,41,Tampemoche,Rural
24,3,221,Jagüey Cercado,Rural
24,3,17,M·huatl,Rural
24,3,28,San José Oija,Rural
24,3,308,Colonia el Mirador,Rural
24,3,19,El Otate,Rural
24,3,79,Octujub o Campeche,Rural
24,3,114,Puerto de Tantzotzob,Rural
24,3,33,Santa Bárbara,Rural
24,3,45,Tanchanaco,Rural
24,3,289,El Sacrificio (Sección 26),Rural
24,3,30,San Rafael Tamápatz,Rural
24,3,46,Tanquizul,Rural
24,3,115,Rancho Nuevo,Rural
24,3,23,Paxaljá,Rural
24,3,39,Tampate,Rural
24,4,11,Cerro Grande,Rural
24,4,30,Palomas (El Valle de Palomas),Rural
24,4,33,Paso del Águila,Rural
24,4,38,Puerta del Refugio,Rural
24,4,46,San Elías,Rural
24,4,49,San José de Magaña,Rural
24,4,1,Armadillo de los Infante,Urbana
24,4,10,La Cardona,Rural
24,4,39,El Ranchito de los Guzmán,Rural
24,4,14,Contrayerba,Rural
24,4,37,Pozo del Carmen,Rural
24,4,29,Nogalitos de la Cruz,Rural
24,4,27,Mezquitalillo,Rural
24,4,32,Paradita del Refugio,Rural
24,4,13,La Concordia,Rural
24,4,40,Rancho Nuevo de la Cruz,Rural
24,4,53,Temazcal,Rural
24,5,10,Lobos,Rural
24,5,15,La Noria,Rural
24,5,14,Colonia Agrícola el Naranjo,Rural
24,5,1,Cárdenas,Urbana
24,5,7,Cañada de Pastores,Rural
24,5,8,Higinio Olivo (La Labor),Rural
24,5,6,Las Canoas,Rural
24,5,2,El Aguaje,Rural
24,5,17,Pantano,Rural
24,6,1,Real de Catorce,Urbana
24,6,5,Alamitos de los Díaz,Rural
24,6,12,Estación Catorce,Rural
24,6,23,El Mastranto,Rural
24,6,31,Potrerillos,Rural
24,6,37,El Salto,Rural
24,6,49,Santa Cruz de Carretas,Rural
24,6,55,Tanque de Dolores,Rural
24,6,32,El Potrero,Rural
24,6,38,San Antonio de Coronados,Rural
24,6,13,Los Catorce,Rural
24,6,30,Poblazón,Rural
24,6,22,Real de Maroma,Rural
24,6,59,Estación Wadley,Rural
24,6,33,Ranchito de Coronados,Rural
24,6,54,Tanque de Arenas,Rural
24,6,14,Charco Largo,Rural
24,6,50,Santa Cruz del Mogote,Rural
24,6,36,El Refugio (La Luz),Rural
24,6,51,Santa María del Refugio,Rural
24,6,40,San Cristóbal,Rural
24,6,10,La Cardoncita,Rural
24,6,15,Guadalupe del Carnicero (La Maroma),Rural
24,6,42,San José de Coronados,Rural
24,7,35,San Antonio del Sotol,Rural
24,7,32,Salitrillos del Refugio,Rural
24,7,41,San Mateo,Rural
24,7,5,El Blanco,Rural
24,7,29,Refugio de las Monjas,Rural
24,7,1,Cedral,Urbana
24,7,42,San Pablo,Rural
24,7,28,Refugio de Saladito,Rural
24,7,12,Gallos Blancos,Rural
24,7,23,Presa Verde,Rural
24,7,45,Santa Rita del Sotol,Rural
24,7,46,Santa Teresa,Rural
24,7,20,Noria de San Pedro,Rural
24,7,40,San Lorenzo,Rural
24,7,51,Zamarripa,Rural
24,7,37,San Isidro,Rural
24,7,7,Cerro de Flores,Rural
24,7,14,Jes·s María,Rural
24,7,13,Ejido Hidalgo,Rural
24,7,8,La Crucita,Rural
24,7,11,El Espíritu,Rural
24,7,15,Lagunillas,Rural
24,7,44,San Rafael de los Facundos,Rural
24,7,50,Tanque Nuevo,Rural
24,7,156,Fraccionamiento Llanos de San Gabriel,Rural
24,7,9,La Cruz,Rural
24,7,19,Noria de Dolores,Rural
24,7,33,Saltillito,Rural
24,7,6,La Boquilla,Rural
24,7,10,El Cuarejo,Rural
24,7,21,Palo Blanco,Rural
24,7,34,San Antonio de los Montoya,Rural
24,8,30,San Pedro de los Hernández,Rural
24,8,1,Cerritos,Urbana
24,8,11,Joya de Luna,Rural
24,8,35,El Tepetate,Rural
24,8,16,Mezquites Chicos,Rural
24,8,17,Mezquites Grandes,Rural
24,8,25,Rincón de Banda,Rural
24,8,15,Manzanillas,Rural
24,8,26,Rincón de Turrubiartes,Rural
24,8,18,Montaña,Rural
24,8,67,Puerto de San José (El Puerto),Rural
24,8,5,Cerros Blancos,Rural
24,8,4,Cerrito Blanco,Rural
24,8,3,Bosque y Caldera,Rural
24,8,2,La Biznaga,Rural
24,8,19,Ojo de Agua,Rural
24,8,27,San Diego,Rural
24,8,32,El Sauz,Rural
24,8,44,Nuevo Ejido San Pedro de los Hernández (Las Viborillas),Rural
24,8,29,San Nicolás del Bosque,Rural
24,8,10,El Gavilán,Rural
24,8,36,El Tepozán,Rural
24,8,28,San José de Turrubiartes (El Zamandoque),Rural
24,8,7,Derramaderos,Rural
24,10,28,Los Charcos del Poniente,Rural
24,10,41,La Guacamaya (La Lagunita),Rural
24,10,94,Estación las Tablas,Rural
24,10,7,Colonia Álvaro Obregón,Rural
24,10,54,Las Moras,Rural
24,10,86,San Juan del Llano,Rural
24,10,62,Colonia Agrícola Ollitas de las Vacas,Rural
24,10,81,Rincón Seco,Rural
24,10,15,El Capulín,Rural
24,10,76,Puerto del Zamandoque,Rural
24,10,50,Memela,Rural
24,10,108,Las Tortugas (Las Moras),Rural
24,10,53,Montebello,Rural
24,10,39,Las Gavias,Rural
24,10,90,San Rafael Matriz,Rural
24,10,192,Nuevo Centro de Población Ganadero Papagayos,Rural
24,10,68,La Pendencia,Rural
24,10,73,Potreritos de los Llanos,Rural
24,10,31,Colonia Carlos Diez Gutiérrez (La Italiana),Rural
24,10,84,San Antonio,Rural
24,10,72,El Porvenir,Rural
24,10,1,Ciudad del Maíz,Urbana
24,10,65,Palomas,Urbana
24,10,32,El Divisadero (La Garra),Rural
24,10,79,Rancho Nuevo,Rural
24,10,100,La Victoria,Rural
24,10,166,Llanitos,Rural
24,10,189,Sección Setenta y Nueve los Anteojos,Rural
24,10,104,Zamachihue,Rural
24,10,301,Ejido San José (La Majada),Rural
24,10,33,El Duro,Rural
24,10,43,Colonia Lagunillas,Rural
24,10,61,El Olivo,Rural
24,10,91,San Rafael Carretera,Rural
24,10,164,Nuevo San Rafael,Rural
24,10,77,Puerto de San Juan de Dios,Rural
24,10,46,Colonia Agrícola Magdaleno Cedillo,Rural
24,10,9,Los Ávalos,Rural
24,10,14,La Calzada de San Rafael,Rural
24,10,16,Carrizal Grande,Rural
24,10,44,Colonia la Libertad,Rural
24,10,4,Agua Nueva del Norte,Rural
24,10,55,Colonia la Morita,Rural
24,10,105,Sartenejo,Rural
24,10,97,El Tepeyac,Rural
24,10,87,San Juan del Meco,Rural
24,10,66,Papagayos (Ejido Papagayos),Rural
24,10,8,Aquiles Serdán,Rural
24,10,78,El Puerto Santa Gertrudis,Rural
24,10,26,El Custodio,Rural
24,10,51,Las Mesas de Don Luis,Rural
24,10,95,Tanque de los Ángeles (El Venadito),Rural
24,10,10,Buenavista y Olivo,Rural
24,10,34,La Encarnación,Rural
24,10,89,San Mateo,Rural
24,10,85,San Antonio del Toro (Cabeza del Toro),Rural
24,11,5,Colonia Veinte de Noviembre,Rural
24,11,2,Atotonilco,Rural
24,11,11,La Noria,Rural
24,11,3,Barrio de Guadalupe,Rural
24,11,6,Labor Vieja,Rural
24,11,14,El Paraíso,Rural
24,11,9,Morillos,Rural
24,11,16,La Reforma,Rural
24,11,18,San Isidro,Rural
24,11,19,San José del Terremoto,Rural
24,11,12,Ojo de Agua de San Juan,Rural
24,11,21,El Sermón Santa Ana,Rural
24,11,20,El Saucillo,Rural
24,11,22,Solano,Rural
24,11,25,La Ventilla,Rural
24,11,15,Las Pilas,Rural
24,11,33,San Pablo,Rural
24,11,141,Barrio Primero,Rural
24,11,49,Colonia la Peñita,Rural
24,11,37,La Reformita,Rural
24,11,1,Ciudad Fernández,Urbana
24,11,8,Mojarras de Arriba,Rural
24,11,13,Ojo de Agua de Solano,Rural
24,12,3,Aldzulup,Rural
24,12,6,El Crucero (Crucerito),Rural
24,12,9,Cuatlamayán,Rural
24,12,14,Guadalupe Victoria,Rural
24,12,23,Aldzulup Poytzén,Rural
24,12,24,San José Pequetzén,Rural
24,12,30,Tzé Pakáb Primera Sección,Rural
24,12,84,Zojualo,Rural
24,12,94,Colonia Primero de Mayo,Rural
24,12,148,Chacatitla Primera Sección,Rural
24,12,309,Colonia Omar San Román,Rural
24,12,87,Tamaletom Primera Sección,Rural
24,12,225,Xolol Bethania,Rural
24,12,316,Barrio Bicentenario,Rural
24,12,1,Tancanhuitz,Urbana
24,12,4,Las Armas,Rural
24,12,16,Linares,Rural
24,12,21,Palmira Viejo,Rural
24,12,13,La Garza (Pequetzén de la Garza),Rural
24,12,2,Alhuitot (Thimantzén),Rural
24,12,19,Octzén San Agustín,Rural
24,12,26,Tamarindo,Rural
24,12,20,Palmira Nuevo,Rural
24,13,14,El Azulejo,Rural
24,13,24,Camillas,Rural
24,13,44,La Concepción (La Concha),Rural
24,13,61,Ejido el Chuchupe,Rural
24,13,105,León García,Rural
24,13,141,La Pila,Rural
24,13,144,El Platanito,Rural
24,13,146,Rancho Nuevo,Rural
24,13,156,La Puerta del Espíritu Santo,Rural
24,13,164,La Raya,Rural
24,13,183,San Felipe,Rural
24,13,192,San Mateo,Rural
24,13,193,San Miguel,Rural
24,13,215,El Tamarindo,Rural
